Name,Link,Founding Year,"Type of Venture (charity, project, academic, for-profit)",Region,Country (of Origin),Countries of Operations,UNCRPD Level,City,Lead Actory: background of founders,Funder,"Type of Innovation (4Ps): Process, Product, Paradigm, Position","Impairment category (mobility, visual, hearing, cognitive)",Wicked Problem,Radically different Interaction: whats the interaction and how it overcome challenges,Cocreation aspect,Value and usefulness to the user,Open or scalable aspect: need to explain,"Startup Stage (Existence, Survival, Disengagement, Success, Growth, Take-off, Maturity)",References
Milbotix,https://milbotix.com,2020,for-profit,European,United Kingdom,"United Kingdom, Japan",ratified,Bristol,Company,Alzheimer�s Society,pruduct,cognitive,"reduce stigma by looking like an everyday item of clothing and track rising distress in the wearer could improve the wellbeing of millions of people with dementia, non-verbal autism and other conditions that affect communication.",a sock with sensor linked to app,cooperated with people with dementia,"track heart rate, sweat levels and motion to give insights on the wearer�s wellbeing",NO,Existence,https://blogs.uwe.ac.uk/research-business-innovation/innovative-smart-socks-could-help-millions-living-with-dementia/,,,,,,,,,,,,,,,
CPR Guardian,https://www.cprglobaltech.com/pages/cpr-guardian-smartwatch,2010,for-profit,European,United Kingdom,"UK, USA, AUS",ratified,Swansea,Company,"Barclays, Amazon, etc",process,"mobility, cognitive","It has simple, easily accessed features that allow the wearer to quickly alert families to their location in an emergency. ",watch,"work with dozens of care organizations such as the FCC Robocall Strike Force, Verizon, US Telecom � AT&T & the Arizona Attorney Generals Office, Trading Standards, Secured by Design.",Instant location alerts for family members with fall detection and SOS button,NO,Growth,,,,,,,,,,,,,,,,
24/7 monitoring,https://taking.care/pages/monitoring-for-local-authority-telecare,1980,for-profit,European,United Kingdom,UK,ratified,Devon,Organisation,Age UK ,service,cognitive,a minimum of calls are transferred to the emergency services and reduce pressures on local services and other organisations.,"a hole year, 24h service","work with crawley, Winchester, ADUR & WORTHING, FAREHAM, ARUN","for the individual as a voice of calm, knowledgeable, empathetic support in times of emergency or crisis.",NO,Growth,,,,,,,,,,,,,,,,
Nobi smart lamp,https://nobi.life/nobi-in-care-facilities/,2018,for-profit,European,Ireland,global,ratified,Belgium,Company,"AGENTSCHAD INNOVEREN&
ONDERNEMEN, ",process,"mobility, cognitive",Nobi�s ability to communicate immediately with care providers or family members when an old people falls.,"helps relieve the strain on nursing staff by taking over time-consuming, repetitive tasks. ",Tested and approved by care facilities throughout the world.,It is mainly for fall detection and fall prevention. ,NO,Growth,,,,,,,,,,,,,,,,
Obi dining companion,https://www.rahanalife.co.uk/dining-companions,2016,for-profit,European,United Kingdom,UK,ratified,Warwickshire,Startup,Rahana Life,product,mobility,increase the independence of those who have limited arm and hand function,"a simple to use, elegant, robotic feeding device",cooperated with users,Let people who have difficulty holding cutlery or bringing food to their mouth the opportunity to eat independently.,NO,Existence,https://www.kidzexhibitions.co.uk/blog/increased-independence-with-rahana-life/,,,,,,,,,,,,,,,
Jelly Drops,https://www.jellydrops.com/pages/business,2019,for-profit,European,United Kingdom,"UK, USA",ratified,Burscough ,Startup,Alzheimer�s Society and Personal Care Services,product,cognitive,many people with dementia find eating easier than drinking,A fun and engaging way to support hydration,cooperated with people with dementia,"The firm, easy to grip �drops� makes them simple to pick up.",NO,Existence,https://www.alzheimers.org.uk/blog/jelly-drops-sweets-tackle-dehydration-dementia,,,,,,,,,,,,,,,
 Kepler Vision Technologies ,https://www.keplervision.eu,2018,for-profit,European,Netherlands,global,ratified,Amsterdam,Company,UvA Ventures and the Dutch Ministry of Economic Affairs.,process,cognitive,This software removes the need for intrusive devices for tracking dementia patients without adding any extra complexity,developing unique artificial intelligence (AI) for healthcare,"cooperated with ARAS security, cinnovate, etc"," help care home residents suffering from dementia, and relieve pressure on overstretched care staff.",NO,Existence,https://www.healthtechdigital.com/kepler-vision-launches-new-smart-sensor-to-enhance-elderly-monitoring-solutions/,,,,,,,,,,,,,,,
RampCentre,https://www.enable-access.com,1998,for-profit,European,United Kingdom,United Kingdom,ratified,Bedfordshire,Company,Enable Access,product,mobility,"It simply adjusts to bridge over all types of thresholds, even where the drop is different each side, without any setting up or adjustment needed from the user, and is suitable for almost any mobility device.",a really easy way to use a ramp in any situation,cooperated with many related companies,"it is so easy, both to choose and to use, thus it really is everyone�s threshold bridge solution!",No,Growth,,,,,,,,,,,,,,,,
Soloc Lap belt,https://soloc.org/wheelchair,2019,for-profit,European,United Kingdom,United Kingdom,ratified,Glossop,Startup,Soloc,product,mobility,The first single-handed magenetic wheelchair lap blets on the worldwide market.,The worlds first single handed lap belt ,"cooperated with TWP Group, Cardiff University, National Star",designed for people who have only the use of one hand. The unique design allows the belt to be connected and released using only one hand creating greater autonomy and a degree of dexterity. ,No,Existence,,,,,,,,,,,,,,,,
Voice Selector Study ,https://nuancehear.com/voice-selector-study/,2015,for-profit,European,Israel,"UK, Israel",ratified,Tel Aviv,Company, Nuance Hearing,product,hearing," overcome challenging hearing situations for those who struggle to hear in busy environments, known as the �cocktail party problem�. ","the Voice Selector Converse has unique auto-steering technology, which picks up the dominant speaker, even when they are moving about.","cooperate with clinical researchers, scientists, educators, and EdTech advocates to businesses in the hearing aid and assistive technology industries.","It offers a technology solution to help understand conversations in a crowded room, without the need for hearing aids.",No,Growth,https://www.hearingaidknow.com/review-of-the-nuance-hearing-sound-selector,,,,,,,,,,,,,,,
Oysta Pearl+,https://www.oysta-technology.com/en/mobile-telecare/oysta-pearl/,2008,for-profit,European,United Kingdom,"UK, Spain",ratified, Towcester,Company,"Hawkeye security care, Britisha red cross, etc",product,cognitive,help as many people as possible live independently,deliver a flexible GPS personal alarm and fall detector,teamed up with taking care,"Users can feel safe in the knowledge that when they�re out and about, help is available quickly at the press of a button.",No,Growth,https://taking.care/pages/oysta-gps-mobile-alarm,,,,,,,,,,,,,,,
Givemove,https://www.givemove.com/#nosotros,2019,for-profit,Americas,Argentina, Argentina,Ratified,"Parana, Argentina","Biological engineer and CEO in
company ","Mass Challange & MassChallenge Mexicox
",Product,Mobility,This product does not help children with mobility difficulties to carry out activities in smaller indoor Spaces,"The equipment the company offer is Bipmov, a motorized standing frame, an orthopedic device that keeps kids and adolescents with motor disabilities in standing position.

Thus reducing other complications and helping them to maintain their health.",Bipmov incorporates IoT technology granting users the opportunity to customize their experience and providing health professionals with valuable insights about the device usage.,"Bipmov grants physiological, psychological and functional benefits for its users.  Regarding functional benefits it allows a better integration at home, school and life in general.  Bipmov promotes independence and autonomy that has positive effects psychologically like improving users' self-esteem which eases social interaction.  Physiologically, verticalization reduces the risk of osteoporosis, spasms and contractions preventing muscular atrophy among other numerous benefits.","Open and scalable: close cooperation with local universities, research institutes and government (e.g. University of SanAndres, entrerios, FEDER and so on)","Survival: The company has only 5 employees and the start-up has got few users and is able to satisfy them, but they struggle to make profit","https://www.crunchbase.com/organization/givemove/company_financials
https://youtu.be/buMV-cCYz_M
https://www.f6s.com/givemove
https://www.f6s.com/company/givemove#about",,,,,,,,,,,,,,,
Veever,https://veever.global/,2020,for-profit,Americas,Brazil, Worldwide,Ratified,PR?CURITIBA,"Full-stack Developer, Physician and Developer, Creative Technologist in the company",Unfunded,Product (App + a microlocation device),Visual ,This micro-positioning device is extremely small and easy to lose. It was lost. Blind people are not easy to find,"Veever is an app that uses a precise location system to guide the people with visual impairment or with orientation difficulties through a virtual voice assistant. 

When walking through spaces (indoor or outdoor) equipped with the necessary devices, Veever provides the user with more autonomy and independence.

The combination of smartphones, beacons, cloud computing and artificial intelligence helps visually impaired people to perceive their indoor environment.
This allows them to better integrate into parties and work.","The application collects feedback from existing users and continuously improves

An app like this is not built alone, our employees, users and people are involved in(Rafael Greca- mayor of Curitiba, Mario Sergio Fontes- Former paralympic athlete and founder of the Brazilian Confederation of Sports for the Visually Imparied, and so on)","The app helps people with low vision to perceive their surroundings and improve their mobility, INDEPENDENCE and autonomy.
",Open and scalable: It's an innovation that works on both ios and Android. And it's free to download,Existence: The company has only 3 employees including the founders and they do not have any plans to take on additional staff at the moment,"https://www.crunchbase.com/organization/veever
https://apps.apple.com/app/veever/id1488816979
https://www.linkedin.com/company/veeverglobal",,,,,,,,,,,,,,,
Aira,https://www.aira.io/,2014,For-profit,Americas,United States of America,"North America, Australia, New Zealand and the United Kingdom",Signatured,"La Jolla, California",Director of Engineering within Intuit's Central Technology Organization,"Bose Ventures, National Science Foundation, Arboretum Ventures,
Lux Capital, ARCH Venture Partners, Felicis Ventures, Jazz Venture Partners, 
ARCH Venture Partners,
Scott Belsky",Product (app),Visual,"When the staff in the app help the visually impaired customers to book hotel services, how to protect the privacy of the users when serving the customers?","Aria uses a real-time, person-to-person professional assistance service based on an app to help visually impaired people understand and shape their perception of the environment around them. 
Download the app, press a button and your phone's camera streams a live video to one our highly screened Visual Interpreters.
This helps them be more productive, engaged, and independent in their daily lives.�","Aria builds and iterates on its products by collaborating with the world's leading techies and companies.
World-class organizations are leading the way in accessibility and inclusion by becoming Aira Access Partners.
Many businesses, retailers, restaurants, grocers, banks, airports, transit systems, museums, universities and employers are providing Aira as an accommodation, a productivity tool, at no-cost for employees, students, customers, visitors and travelers.","Aria has encouraged more people to get involved and join the movement for truly inclusive organizations with accessibility barriers, and has streamlined the process of its app's operation to make it an inclusive and accessible productivity tool.

People who need visual information use Aira for everyday tasks like reading mail, digital tasks like shopping online, and to navigate their surroundings, all independently and with confidence.","Open and scalable: close cooperation with lots of universities and government worldwide (e.g. Grand Rapids Public Museum, University of Pennsylvania and so on)",Growth: The product is already in use in many countries and attracted a lot of investment,"https://www.linkedin.com/in/troyo/
https://www.crunchbase.com/organization/aira/company_financials
 https://www.facebook.com/aira.io/
https://www.youtube.com/watch?v=1Fghe9r66Pw",,,,,,,,,,,,,,,
The Association of Assistive Technology Act Programs (ATAP),https://ataporg.org/about-us/,1997,Charity,Americas,United States of America,USA,Signatured,"Washington, DC",Assistant Executive Director with ND Assistive (formerly IPAT),Assistive Technology Act,Process,"Mobility, Visual, Hearing, Cognitive",How to ensure that resources are properly allocated and data collected for analysis?,"ATAP facilitates and oversees the national coordination of state AT programs, as well as providing technical assistance and support to its members.

This helps to increase the effectiveness of AT programs at the national, state and local levels.","ATAP maintains and strengthens a strong and efficient nationwide network of statewide assistive technology programs by offering a national forum, assisting states with AT legislation, serving as an advisory body, and promote federal appropriations.
Providing a forum for member states and territories to study, deliberate, and act upon matters affecting the national network of Statewide AT Programs.
Providing resources for the formulation and expression of the collective points of view of Statewide AT Programs on critical issues that impact access to and acquisition of AT.
Serving as an advisory body to the Administration on Community Living, other federal agencies, organizations, and entities, on issues affecting access to and acquisition of AT.
Providing a means of communication and joint action with other organizations promoting access to and acquisition of assistive technology.","ATAP Accomplishes Its Mission by Enhancing the effectiveness of AT Programs on the national, state, and local level.

ATAP maintaining and expanding a strong, effective, and efficient national network of Statewide Assistive Technology Programs that allows people with disabilities, service providers, and others to learn about, access, and acquire assistive technology (AT) needed for education, employment, and community living.","Open and scalable: this innovation was made through open collaborations between different stakeholders. (eg. member states and territories, )",Success:  This project has many users and there is an increasing demand to grow and expand to different cities among the country,"https://ataporg.org/about-us/
https://www.linkedin.com/in/jeanniek",,,,,,,,,,,,,,,
Cognixion one,https://www.cognixion.com/#home-section,2014,for-profit,Americas,United States of America,"Canada, USA",Signatured,"Santa Barbara, California", Founder & CEO at Smartstones," Northwell Health, Prime Movers Lab,Volta Circle, Tom Washing, Amazon Alexa Fund",Product (a wearable device),Cognitive ,How to ensure that users can learn about this product as it involves in such advanced technologies? Users can't afford this expensive product,"Cognition provides new opportunities for people with severe disabilities to regain their abilities through affordable and accessible artificial intelligence-driven technology combined with brain-computer interfaces and virtual reality.

As a result, these people with disabilities can integrate into society.",The device draws from interacting with multiple people with severe disabilities,"This programs take into consideration all aspects of the human being; whether they need to improve only their computer skills or they require a more complex combination of services like learning how to improve their motivation and self confidence, while improving their literacy skills through adaptive technology, it cwork with each client on an individual basis to identify their particular needs and create an individual action plan for disabled people to succeed.

It improve quality of life and create economic impact. Easier access to communication for the nonverbal individual means reductions in frustration, isolation, and costly behavioral interventions. Their newfound independence and social inclusion leads to new opportunities to close the equity gap.
",Non open or scalable: only works on ios and there is few collaboration with outside parties,Growth: The company has expanded to two countries and has a growing number of users,"https://www.crunchbase.com/organization/cognixion https://www.finsmes.com/2021/11/cognixion-raises-12m-in-seed-funding.html
https://pitchbook.com/profiles/company/91857-70#overview
https://www.cognixion.com/#contact-section
https://www.ventureradar.com/organisation/Cognixion/75829d34-b643-402f-936c-0a525b95c9f8/
https://app.dealroom.co/companies/cognixion",,,,,,,,,,,,,,,
Neil Squire Society,https://www.neilsquire.ca/about/history/,1984,Charity,Americas,Canada,Canada,Ratified," Burnaby, British Columbia", 21-year-old student at the University of Victoria and his relatives,"Community donations & Government support, Google","Product, paradigm","Mobility, Hearing, visual, cognitive",How to ensure whether disabled people can adapt to the new job and if there are other follow up issues?,"Through computer-assisted rehabilitation, people with disabilities can regain their ability to live. There is also specialized job training and employment counselling to assist people with disabilities in obtaining a source of economic income.

As a result, people with disabilities can become more socially viable.",Interviews with a diverse range of people with disabilities in order to promote customized output,"For people with disabilities and their future employers, filling gaps in services and expertise, and promoting innovative technological solutions to increase people with disabilities' productivity",Open and scalable: close cooperation with Canada government,Success: This project has many users and there is an increasing demand to grow and expand to different cities among the country,"https://en.wikipedia.org/wiki/Neil_Squire_Society
https://www.neilsquire.ca/category/success-stories/
https://abilitymagazine.com/assistive-technology-canada/",,,,,,,,,,,,,,,
TALOV Vision ,https://www.talovstudio.com/technology,2019, For-profit,Americas,United States of America,"USA, Ecudaor",Signatured,"Newark, Delaware",An IOS developer,Joby Aviation and Airwallex,Product,Visual,How to improve the accuracy of discern of this device?,"Through a camera-based function that assists people with disabilities in identifying objects around them via a simple mobile app.

As a result, people with disabilities can become more socially viable.","Improve the product by allowing users to experience and collect feedback.
Supported by IBM and Google Developers Launchpad.","Thanks to the powerful haptic feedback and navigation sensor reception, blind people wearing the product can travel with confidence",Open and scalable: It's optimized for working with VoiceOver and TalkBack in up to 48 languages.,"Survival: The company has only 2 employees and the start-up has got few users and is able to satisfy them, but they struggle to make profit","https://www.crunchbase.com/organization/talov
https://www.crunchbase.com/discover/funding_rounds",,,,,,,,,,,,,,,
Sunu band,https://sunu.io/,2013,For-profit,Americas,Mexico,"USA, Mexico",Ratified,Durango,A volunteer at several organizations for disabilities and the founder of a community service project at a School ,"
MITA Ventures, MassChallenge, BeenThere, Y Combinator, ArkAngeles, Avalancha Ventures, Toushka Capital, Mexamerica Ventures, The Arc Fund, Ixchel, FW Ventures
",Product,Visual,How to improve the detection range of this equipment?,"A bracelet equipped with sonar sensors alerts visually impaired people to potential hazards, using a subtle movement touch (vibration) as communication.

To reduce the likelihood of them being involved in an accident.","The device was developed by the founder, who has a visually challenged relative, through years of working with and interacting with visually impaired people.
Team members live with blindness.","Navigation and geolocation services based on beacons and Bluetooth enable people with low vision to freely explore their surroundings.
It works as an invisible white cane for your upper body, allowing you to perceive people, obstacles, and spaces around you through vibrations.
","Open and scalable: Available in 3 different languages.
Not open or scalable: there is no collaboration with outside parties",Success: The company has been able to generate profits and has attracted an increasing number of investors,"https://app.dealroom.co/companies/sunu
https://helsinki.dealroom.co/companies/sunu
https://www.innovatorsunder35.com/the-list/marco-trujillo/
https://www.linkedin.com/in/marco-trujillo-tejeda/en",,,,,,,,,,,,,,,
Lazarillo,https://lazarillo.app/es/,2016,For-profit,Americas,Chile,Worldwide,Ratified,Santiago,A fellow working in a medical,"AcceliCITY powered by Leading Cities, Magical",Product (App),Visual,"The external environment is constantly changing, so how to make adjustments in real time?","Navigation and geolocation services based on beacons and Bluetooth thus help low-vision people to recognize the direction.

Hence, they can travel independently in the city.",The application collects feedback from existing users and continuously improves,"The app helps the blind and visually impaired to explore their surroundings with confidence and independence, increasing their self-confidence.","Open and scalable: available for open-source download on multiple platforms. Meanwhile, it has a large user base spread across 45 countries and supports 30 different languages.","Success: Lazarillo has more than 185,000 active users, but there are few people in the company.","https://www.crunchbase.com/organization/lazarillo
https://www.ikeasocialentrepreneurship.org/en/social-enterprises/lazarillo
https://www.meaningful.business/team/rene-espinoza/
https://www.linkedin.com/in/rene-espinoza/en
https://pitchbook.com/profiles/company/384707-89#signals",,,,,,,,,,,,,,,
Usound,https://www.usound.co/es/,2014,for-profit,Americas,Argentina, Argentina,Ratified,Distrito Federal,A CEO of the startup,"Mass Challange, Wayra",Product,Hearing,How does the device ensure that the user can continue to use it even if there is no internet or electricity to the phone?,"uSound is smart audio system that converts a Smartphone into a hearing assistant device (hearing aids). Besidesd, users can configure them by entering data regarding their audiometry � a measure of the range and sensitivity of a person�s sense of hearing, or they can carry out a hearing test with the app itself",Improve the product by allowing users to experience and collect feedback,"It uses the functionalities of smartphones so they work as digital hearing aids, reducing 93% of the cost.","Open and scalable: collaboration with around 6 institutions (Instituto Stok S.C., Fundaci�n I.N.T.E.G.R.A.R. and so on) and get a health registry in more than 10 Latin American countries",Survival: the company only has one product and has not expanded to other countries.,"https://www.crunchbase.com/organization/usound-3
https://www.hbs.edu/news/articles/Pages/usound.aspx
https://ar.linkedin.com/in/ezequielescobar
https://www.crunchbase.com/organization/usound-4d15/people",,,,,,,,,,,,,,,
Quicktalkerfreestyle,https://quicktalkerfreestyle.com/,1985,for-profit,Americas,United States of America,Worldwide,Signatured,"Roseville, Minnesota",A CEO of the startup,AbleNet,Product,Cognitive (communication),People with disabilities still need help to define the basic pages of the product before they can use it.,"It is a easy-to-use, go-anywhere dedicated speech generating devices for augmentative and alternative communication, allowing people with a speech impairment to communicate with others.",Work with clinic- and school-based speech-language pathologists.,"Help many more individuals reach their human potential by providing voices to the voiceless
The QuickTalker Freestyle is a robust and flexible speech device that allows your client or student with a speech impairment to communicate with others. Individuals with Autism, physical or cognitive impairments that prevent clear speech and individuals who are non-verbal have all benefited from using a QuickTalker Freestyle speech device.",Open and scalable: The QuickTalker Freestyle is a highly customizable and accessible iPad-based speech generating device (SGD) for augmentative and alternative communication (AAC). ,"Success: 5,247 SLPs to date have been empowered by AbleNet to provide voices to their clients and students.(November 26, 2022)
","https://quicktalkerfreestyle.com/quicktalker-freestyle-speech-device/
https://www.ablenetinc.com/about-ablenet/
https://www.datanyze.com/companies/ablenet/677979
https://www.closingthegap.com/quicktalker-freestyle-by-ablenet/
https://www.youtube.com/watch?v=r40hGC3ZAZc
https://ul.gpii.net/content/quicktalker-freestyle-various-models
",,,,,,,,,,,,,,,
Goodmaps,https://www.goodmaps.com/,2019,for-profit,Americas,United States of America,"USA, UK",Signatured,"Louisville, Kentucky",COO of a software company (Interapt),"American Printing House for the Blind
Brook Smith, Strike Ventures, Future Labs, Keyhorse Capital (KSTC)
",Product (App),"Visual, mobility and hearing","
Since this technology was just mapped, there are a limited number of mapped buildings currently available. However, new venues are coming online every week! Users can contact their local building owner to request that it be mapped and pass along building contacts to GoodMaps if desired.",Accurate and secure 2D and 3D digital indoor maps providing accurate positioning.,"Cooperate with Intel, ASDA
Accessibility Partners: Be my eyes, Key2Access, Step Hear, WayMap, Esri Partner Network ","GoodMaps makes mapping technology useful to the Blind and low vision, touting precision accuracy of within a few feet using image recognition and LiDAR.

GoodMaps prides itself on making the navigation experience completely accessible, ensuring that people who are blind or low vision, mobility impaired, and deaf or hard of hearing, can independently and confidently do their grocery shopping.

It further the cause of accessible navigation. Realizing that the mission of universal accessible navigation was limited by the lack of indoor digital mapping, the GoodMaps platform and company were born.","Open and scalable: GoodMaps creates apps, free of charge to the user like a person who is blind or first responder, that allow the user to actually use the map.
Cooperate wigh many Accessibility Partners such as be my eyes",Survival: There are not many users and the some maps are still limited.,"https://www.goodmaps.com/company
https://www.crunchbase.com/organization/access-explorer
https://www.goodmaps.com/company/people/5f8f2409cfdf73000e643b14
https://www.goodmaps.com/news/good-maps-is-changing-the-way-people-navigate-retail-stores",,,,,,,,,,,,,,,
APP2Speak,http://app2speak.com,2015,for-profit,Americas,United States of America,"
Worldwide",Signatured,"St. Louis, Missouri",An experienced American Speech Language Hearing Association (ASHA) certified Speech Pathologist,"Gina Baldwin, the licensed speech pathologist with over 35 years of experience in helping people communicate",Product (App),Cognitive (communication),Privacy issues will be involved while uploading pictures from personal photo library.,APP2Speak is a complete solution for anyone who has difficulty speaking. Users can take advantage of preprogrammed phrases that allow them to easily express their everyday needs. Users can quickly and easily create custom phrases using their own photos.,Users can send their feedback and suggestions by email.,"Further bridge the silence and allow speech-impaired individuals to find their new voice with APP2Speak�. 

With App2Speak, which is available for iOS and Android, people with speech difficulties improve their self-esteem and independence.","Open and scalable: Available at Apple Store and Google Play. PP2Speak� is compatible with most accessibility features on iOS and Android devices, such as Bluetooth switches, touch accommodations and vision. 
Provides easy-to-read instructions and includes a built-in �Help� system",Survival: The company has not been funded by other investors except for the founder.,"https://app2speak.com/my-story/
https://www.youtube.com/watch?v=cAh0DTlVqV8
https://www.accessibility.com/org-spotlight/business/app2speak
https://newzhook.com/story/app2speak-photo-based-aac-app-speech-impaired/
https://www.facebook.com/APP2Speak/
",,,,,,,,,,,,,,,
Zuvo� 12HD ,https://www.talktometechnologies.com/pages/zuvo12,2006,for-profit,Americas,United States of America,USA,Signatured,"Cedar Falls, Iowa","Co-Founder & COO
",Unfunded,Product,Cognitive (communication),Cheaper alternatives(app) may be available in the market.,"Users can choose from a variety of customizable vocabulary options to communicate with others.
A lightweight, portable smarter, faster communication device with more access options, advanced word prediction and easy-to-edit vocabulary/page set options.","The company is associated with the National Autism Association, Isaac, USSAAC, and ALS, among others.","Clients benefit from the simple notion of being matched with a speech device that works for them and not the other way around.

The zuvo 12-D� provides an ideal communication solution for children and adults with significant communication needs resulting from autism, stroke, brain injury, ALS (Lou Gehrig's disease), cerebral palsy, Parkinson's, Down syndrome, developmental delays and others.

It's easy to personalize your speech-generating device using your own recorded voice for your future communication needs","Open and scalable: Free resources including Lesson Plans, Social Stories, Low-Tech Boards and more can be downloaded freely from the website.
",Survival: The company has not been funded by other investors.,"https://www.closingthegap.com/talk-technologies-ablenet-bring-speech-life/
https://www.talktometechnologies.com/pages/about-us
https://tracxn.com/d/companies/talk-to-me-technologies/__q22LfPM1FOA_XbzR2w2FOWK3jwXX8hZsTqZql283Wf4
https://www.linkedin.com/company/talk-to-me-technologies-llc/",,,,,,,,,,,,,,,
Scotty Wheelchair Tray Systems,https://www.compusult.at/scotty,1985,for-profit,Americas,Canada,"
Canada, USA, Japan,United Kingdom, Caribbean",Ratified,Mount Pearl,A CEO of the startup,Atlantic Innovation Fund by Government,Product,Mobility,Applicability with different brands and sizes of wheelchair.,"Compusult�s Scotty Wheelchair Tray Systems are a versatile collection of attachment hardware that provides an ideal platform for mounting communication devices, reading materials, notebooks, tablets or laptop computers to your wheelchair, desk or almost anywhere.",Users can send customer feedback on the website.,"Offer numerous products to help assist employers, and the work force in general and provide them with the confidence they require to develop in their field. Provide persons with physical disabilities the ability to become more independent and live richer, fuller lives.","Open and scalable: Two customizable systems are available that can be tailored to unique requirements, the Kristen and Claire. With a few Scotty accessories, you can also add a cup holder, umbrella, fishing rod, and more.","Success: It expands to different cities, countries, and makes different products ","https://www.compusult.at/scotty
https://www.compusult.at/
https://www.canada.ca/en/news/archive/2011/03/government-canada-supports-research-innovation-atlantic-canada-596059.html
https://www.linkedin.com/in/paul-mitten-ba67b83/?originalSubdomain=ca
https://www.compusult.com/
https://www.linkedin.com/company/compusult-limited/",,,,,,,,,,,,,,,
Neuronode Trilogy,https://www.controlbionics.com/products/the-neuronode-trilogy/,2006,for-profit,Americas,United States of America,"USA, Canada, Australia",Signatured,"Milford, Ohio","CNN news anchor, Founder & CEO of this company","Nightingale Partners, Lindsay Phillips",Product,Cognitive (Communication),How to ensure such high-tech is affordable for disabled people?,"The NeuroNode Trilogy combines touch, eye control, and EMG/Spatial control for a faster and less fatiguing dedicated speech generating device","Worked with a variety of clients, young and old, and in the US and across the globe, who are living with SMA?","Aim to reduce user fatigue while increasing communication speed in a onetime-funded system that changes alongside the client�s needs.

NeuroNode is the world�s first wearable EMG assistive technology device. It gives those with ALS/MND, spinal cord injury, or any other condition causing paralysis or loss of speech a connection to the world. 
","Open and scalable: The NeuroNode Trilogy is compatible with multiple communication software programs, allowing for the best option available for each individual user.",Success: It is a public company but still needs fund to support it.,"https://www.controlbionics.com/products/the-neuronode-trilogy/
https://tracxn.com/d/companies/control-bionics/__B-y9oFvb4Q3J02Ic-y3qdiiHyan9TuiaLNQHBuep5i8/funding-and-investors
https://www.controlbionics.com/control-bionics-company/
https://www.controlbionics.com/products/how-it-works/
https://www.youtube.com/watch?v=zcCfJt6iuS4",,,,,,,,,,,,,,,
SNAP&READ,https://learningtools.donjohnston.com/product/snap-read/,1980,for-profit,Americas,United States of America,Worldwide,Signatured,"Volo, Illinois",A CEO of the startup,Leveraged Buyout ,Product (Software),Cognitive,How can individuals in a bad financial situation afford the annual high prices (75 dollars per year)?,"Snap&Read offers the most complete toolkit available to help students comprehend everything they read with tools to assist reading, organize information, and annotate PDFs.",Works with educators and organizations?,"Merge the best parts of technology with our experience and human learning expertise to build tools that transform the lives of people across all learning styles and abilities
HELP STUDENTS WITH DYSLEXIA
Millions of students have dyslexia, and in most cases, they can understand grade-level content with simple supports
SUPPORT EXECUTIVE FUNCTION
With the right organizational supports, students with executive functioning issues can get on top of their academic work.
GIVE ACCESS TO THE CURRICULUM
Successful inclusion centers around access to grade-level content. The right tools can connect the dots.","Open and scalable: Snap&Read works on all the major platforms including Chromebooks, iPads, PCs, and Macs. It works with Learning Management Systems (LMS) like Schoology, Google Classroom, Canvas, and more.","Success: Don Johnston Inc. has helped over 32,000 schools through technologies, implementation, and personal connections","https://learningtools.donjohnston.com/product/snap-read/
https://learningtools.donjohnston.com/about/
https://pitchbook.com/profiles/company/134494-75#overview
https://tracxn.com/d/companies/don-johnston/__LcuyOMiL3IPfGD0OhPz-s1M9TkxMcaj-a7uSke_FG3Y",,,,,,,,,,,,,,,
The Eyegaze Edge,https://eyegaze.com/products/eyegaze-edge/,1986,for-profit,Americas,United States of America,Worldwide,Signatured,"Fairfax, Virginia","
the President, CEO, and Senior Software Engineer for Eyegaze Inc.","Foresight Canada,United States Department of Defense, U.S. Department of Health and Human Services",Product,Visual,How to ensure such high-tech is affordable for disabled people?,"For people with disabilities, reliable long-term use is the most critical capability of any AAC device. Low fatigue, high accuracy, and atypical eye condition accommodations outweigh advantages of any IT application.

A special eye tracking camera mounted below the Eyegaze Edge screen observes one of the user�s eyes.Nothing is attached to the user�s head or body. A user operates the system by looking at rectangular �keys� or cells that are displayed on the control screen.  To �press� a key, the user looks at the key for a specified period of time.","Works with a lot of companies.
Eyegaze Inc. works with Medicare, Medicaid and private insurance. Navigating insurance can be confusing and frustrating, so we have a dedicated advocate on hand to help.",An eye controlled speech generating device for children and adults who need communication access to computer software connection to the internet and access to environmental control and entertainment with just their eye movement.,Open and scalable: The Eyegaze Edge� comes with a variety of software and accessories to meet the user�s needs.,Growth: Operate in 44 countries.,"https://www.linkedin.com/in/pete-norloff-a6b81632/
https://www.linkedin.com/company/eyegaze/about/
https://www.youtube.com/watch?v=CB9rZFnm__E
https://eyegaze.com/products/eyegaze-edge/
https://pitchbook.com/profiles/company/279834-67#investors
https://eyegaze.com/funding/
 https://pitchbook.com/profiles/company/279834-67#signals",,,,,,,,,,,,,,,
